Participant,Total duration of fixation in AOI-DA,Share of Total Time (%)- DA,Total duration of fixation in AOI- Original,Share of Total Time (%)- Original,Average duration of fixation in AOI- DA,Average duration of fixation in AOI-Original,Number of fixations in AOI- DA,Number of fixations in AOI-Original,Time to first fixation in AOI-DA,Time to first fixation in AOI-Original,Duration of first fixation in AOI-DA,Duration of first fixation in AOI-Original,Total duration of Visit-DA,Total duration of Visit-Original,Average duration of Visit-DA,Average duration of Visit-Original,Number of Visits-DA,Number of Visits-Original,Label
2,0.859515,0.184138245,10.833917,2.321004821,0.286505,0.902826,3,12,61.170268,61.829903,0.459741,1.099387,0.859515,11.113714,0.286505,5.556857,3,2,1
2,1.898968,0.406825517,8.795061,1.884210391,0.379794,1.256437,5,7,78.120686,78.320566,0.159914,0.199894,1.898968,8.974922,0.379794,2.991641,5,3,4
2,1.539105,0.329730247,8.155406,1.747173866,0.307821,1.165058,5,7,95.910618,96.69018,0.199879,0.419742,1.579101,8.235351,0.526367,2.745117,3,3,5
2,1.479175,0.31689114,9.614589,2.059782018,0.369794,1.602432,4,6,111.861574,112.541191,0.179912,1.459179,1.519143,9.7145,0.759572,3.238167,2,3,5
2,1.259275,0.269780851,8.954942,1.918462506,0.419758,1.49249,3,6,131.890229,132.54986,0.619637,0.799546,1.259275,9.054855,0.419758,4.527428,3,2,1
2,1.059417,0.226964261,13.7522,2.946203345,0.353139,1.9646,3,7,148.92056,149.720106,0.199895,2.598532,1.079402,13.87213,0.539701,6.936065,2,2,1
2,1.758988,0.376836894,11.933228,2.556515776,0.439747,1.193323,4,10,185.779651,172.926961,0.159925,0.339805,1.778972,12.053157,0.592991,3.013289,3,4,4
2,1.299253,0.27834554,8.894939,1.90560776,0.433084,1.270706,3,7,206.048163,206.747762,0.139913,1.339248,1.319237,8.974886,0.659618,2.991629,2,3,4
2,0.879497,0.18841909,6.616268,1.417436549,0.439748,0.601479,2,11,227.356054,227.79581,0.399773,0.239906,0.879497,6.676202,0.439748,0.834525,2,8,5
2,1.379214,0.295475989,8.195425,1.755747338,0.459738,0.546362,3,15,245.405812,245.225901,0.199893,0.139928,1.399198,8.375281,0.699599,1.39588,2,6,1
2,1.419182,0.304038536,6.056581,1.297531973,0.709591,0.550598,2,11,260.857033,261.636579,0.63962,0.219879,1.419182,6.196478,0.709591,1.239296,2,5,1
2,1.199291,0.256930175,4.997123,1.070558929,0.399764,0.713875,3,7,274.569219,275.628628,0.999442,0.27984,1.199291,5.017121,0.399764,0.836187,3,6,4
2,3.318131,0.710859982,12.233047,2.620747516,0.829533,0.941004,4,13,287.06212,287.981598,0.539702,1.359229,3.318131,12.472878,0.829533,3.11822,4,4,5
2,1.599065,0.342575781,10.594001,2.269606404,0.399766,1.0594,4,10,309.849171,311.108455,0.619635,0.379773,1.659046,10.853836,0.829523,2.713459,2,4,5
2,1.539157,0.329741387,5.876667,1.258988087,0.307831,0.839524,5,7,331.536805,332.176456,0.239875,0.479719,1.559156,5.956617,0.389789,1.985539,4,3,1
